Estado;Periodo de Cierre;Codigo de Contrato;Monto;Monto Solarizado;Monto Desembolsado;Monto Desembolsado Solarizado;Comision;Comision Solarizada;Plazo;Moneda;Tasa de Interes;Esquema;Riesgo;Provincia Propiedad;Distrito Propiedad;Tipo de Propiedad;Valuacion Propiedad;Valuacion en Soles;Total Ganado Esperado;Total Ganado;Numero de Reservaciones;Ratio (%);LTV;Safety Buffer;Fecha de Creacion;Fecha de Cierre;Dias de Cierre;Etapa del Negocio;Canal;Tipo de Fondo;Es Fast Track;Tipo de Cambio Contable;Flag Contrato Cerrado;Ratio Comision/Monto;Flag Alta Demanda;Ano;¿Aplica propuesta?;Marca_15_Mayo_Creacion;Marca_15_Mayo_Cierre;COMISION SD. NO FT PCT IDEAL;COMISION SD. NO FT PCT MIN;COMISION SD. NO FT MONTO IDEAL;COMISION SD. NO FT MONTO MIN;COMISION CD. NO FT MONTO IDEAL;COMISION CD. NO FT MONTO MIN;COMISION SD. SI FT PCT IDEAL;COMISION SD. SI FT PCT MIN;COMISION SD. SI FT MONTO IDEAL;COMISION SD. SI FT MONTO MIN;COMISION CD. SI FT MONTO IDEAL;COMISION CD. SI FT MONTO MIN;Es Caso en Seguimiento;Ratio_Comision_Real_Ideal;Dominios_Matematicos;Dominio_Final;Marca_25_abril_Creacion;Marca_25_abril_Cierre;AJUSTADA COMISION SD. NO FT MONTO IDEAL;Comision Final;Condicion Fuerte es Caso en Seguimiento
CONTRATO CERRADO / DESEMBOLSO;202601;P04666;55000,0;55000,0;56567,5;56567,5;1567,5;1567,5;60;PEN;3,16;Cuota Fija;Medio;SANTA;NUEVO CHIMBOTE;;60573,0;;56567,5;56567,5;;0,252398;0,252398;0,747602;2026-01-04 17:22:43;2026-01-26 23:01:27;22;CONTRATO CERRADO / DESEMBOLSO;Presencial;Fondos privados;False;3,384;SI;0,0285;;2026;False;No;No;0,26999999999999996;0,24;14849,999999999998;13200,0;16500,0;14850,0;0,295;0,265;16225,0;14575,0;17875,0;16225,0;False;0,10555555555555557;Fuera de Rango;Fuera de Rango (No FT);No;No;13364,999999999998;;False
CONTRATO CERRADO / DESEMBOLSO;202601;P04634;25000,0;25000,0;32875,0;32875,0;7875,0;7875,0;72;PEN;1,42;Cuota Fija;Moderado Medio;LIMA;LOS OLIVOS;departamento;54826,0;;32875,0;32875,0;;0,162061;0,162061;0,837939;2026-01-06 21:08:38;2026-01-22 23:05:58;16;CONTRATO CERRADO / DESEMBOLSO;Digital;Inversionista P2P;True;3,384;SI;0,315;;2026;True;No;No;0,315;0,29500000000000004;7875,0;7375,000000000001;8875,0;8250,0;0,34500000000000003;0,325;8625,0;8125,0;9625,0;9000,0;True;1,0;D1;Fuera de Rango (FT);No;No;7087,5;;False
CONTRATO CERRADO / DESEMBOLSO;202602;P04752;110000,0;110000,0;112640,0;112640,0;2640,0;2640,0;36;PEN;3,0;Cuota Fija;Moderado;LAMBAYEQUE;LAMBAYEQUE;;134768,0;;112640,0;112640,0;;0,225894;0,225894;0,774106;2026-01-07 18:03:54;2026-02-23 22:29:39;47;CONTRATO CERRADO / DESEMBOLSO;Presencial;Fondos privados;False;3,384;SI;0,024;;2026;False;No;No;0,18;0,13999999999999999;19800,0;15399,999999999998;21450,0;17050,0;0,185;0,145;20350,0;15949,999999999998;22000,0;17599,999999999985;False;0,13333333333333333;Fuera de Rango;Fuera de Rango (No FT);No;No;17820,0;;False
CONTRATO CERRADO / DESEMBOLSO;202602;P04703;80000,0;80000,0;98000,0;98000,0;18000,0;18000,0;72;PEN;2,0;Cuota Fija;Medio;AREQUIPA;MIRAFLORES;;97035,0;;98000,0;98000,0;;0,272958;0,272958;0,727042;2026-01-07 17:38:06;2026-02-12 22:23:19;36;CONTRATO CERRADO / DESEMBOLSO;Presencial;Inversionista P2P;False;3,384;SI;0,225;;2026;False;No;No;0,195;0,16999999999999998;15600,0;13599,999999999998;18000,0;15600,0;0,21;0,185;16800,0;14800,0;19200,0;16800,0;False;1,1538461538461537;D2, D4;D2;No;No;14040,0;18000,0;False
CONTRATO CERRADO / DESEMBOLSO;202602;P04685;65000,0;65000,0;79300,0;79300,0;14300,0;14300,0;60;PEN;1,47;Cuota Fija;Bajo;LIMA;LA MOLINA;departamento;131672,0;;79300,0;79300,0;;0,162771;0,162771;0,837229;2026-01-07 20:06:51;2026-02-03 16:51:41;26;CONTRATO CERRADO / DESEMBOLSO;Digital;Inversionista P2P;True;3,384;SI;0,22;;2026;True;No;No;0,21999999999999997;0,195;14299,999999999998;12675,0;16575,0;14950,0;0,23500000000000001;0,21;15275,000000000002;13650,0;17550,0;15925,0;True;1,0000000000000002;D1, D3;D3;No;No;12869,999999999998;;False
CONTRATO CERRADO / DESEMBOLSO;202604;P04892;100000,0;331700,0;105000,0;348285,0;5000,0;16585,0;12;USD;1,12;Credito Puente;Bajo Medio;LIMA;SAN ISIDRO;;257899,0;;105000,0;105000,0;;0,407136;0,407136;0,5928640000000001;2026-01-07 22:24:44;2026-04-15 22:50:33;98;CONTRATO CERRADO / DESEMBOLSO;Presencial;Inversionista P2P;False;3,317;SI;0,05;;2026;False;No;No;0,06000000000000001;0,045;6000,000000000001;4500,0;7500,0;6000,0;0,065;0,05;6500,0;5000,0;8000,0;6500,0;False;0,8333333333333333;D1, D3;D1;No;No;5400,000000000001;;False
CONTRATO CERRADO / DESEMBOLSO;202601;P04674;101639,31;101639,31;105399,97;105399,97;3760,66;3760,66;72;PEN;2,25;Cuota Fija;Bajo;LIMA;SAN MARTIN DE PORRES;;56654,0;;105399,97;105399,97;;0,502815;0,502815;0,497185;2026-01-08 21:52:03;2026-01-29 23:12:06;21;CONTRATO CERRADO / DESEMBOLSO;Digital;Fondos privados;False;3,384;SI;0,0370000544080828;;2026;False;No;No;0,175;0,135;17786,879249999998;13721,30685;22360,648199999996;17786,879249999998;0,185;0,145;18803,27235;14737,699949999998;23377,041299999997;18803,27235;False;0,21142888233190205;Fuera de Rango;Fuera de Rango (No FT);No;No;16008,191324999998;;False
CONTRATO CERRADO / DESEMBOLSO;202602;P04736;170000,0;170000,0;172108,0;172108,0;2108,0;2108,0;72;PEN;2,6;Cuota Fija;Moderado;SANTA;CHIMBOTE;;297107,0;;172108,0;172108,0;;0,156562;0,156562;0,843438;2026-01-10 14:59:46;2026-02-19 02:26:25;39;CONTRATO CERRADO / DESEMBOLSO;Presencial;Fondos privados;False;3,384;SI;0,0124;;2026;False;No;No;0,125;0,095;21250,0;16150,0;25499,99999999997;19550,0;0,13;0,1;22100,0;17000,0;26350,0;20400,00000000003;False;0,0992;Fuera de Rango;Fuera de Rango (No FT);No;No;19125,0;;False
CONTRATO CERRADO / DESEMBOLSO;202601;P04664;45000,0;45000,0;47646,0;47646,0;2646,0;2646,0;72;PEN;2,97;Cuota Fija;Medio;PIURA;PIURA;casa;96536,0;;47646,0;47646,0;;0,133394;0,133394;0,866606;2026-01-09 22:24:47;2026-01-26 22:48:57;17;CONTRATO CERRADO / DESEMBOLSO;Digital;Fondos privados;True;3,384;SI;0,0588;;2026;False;No;No;0,29;0,255;13050,0;11475,0;14850,0;13050,0;0,32;0,28500000000000003;14400,0;12825,000000000002;16199,999999999993;14400,0;False;0,20275862068965517;Fuera de Rango;Fuera de Rango (FT);No;No;11745,0;;False
CONTRATO CERRADO / DESEMBOLSO;202602;P04717;60000,0;60000,0;74100,0;74100,0;14100,0;14100,0;36;PEN;2,17;Cuota Fija;Moderado Medio;TRUJILLO;EL PORVENIR;casa;60080,0;;74100,0;74100,0;;0,333339;0,333339;0,666661;2026-01-09 23:36:44;2026-02-16 22:14:46;37;CONTRATO CERRADO / DESEMBOLSO;Digital;Inversionista P2P;False;3,384;SI;0,235;;2026;True;No;No;0,25;0,225;15000,0;13500,0;16800,0;15000,0;0,27;0,24;16200,000000000002;14400,0;18000,0;15900,000000000015;True;0,94;D1;D1;No;No;13500,0;;False
